순번,단지명,주소,공급유형,공급면적,세대수,건축사용승인일자,제품대체일자,매입년도
1,국민희망매입임대(부산부산진구),부산광역시 부산진구 개금온정로 10(개금동 개금 롯데캐슬),국민희망임대리츠,84.95,1,2010-11-12,2019-01-28,2019
2,국민희망매입임대(부산강서구),부산광역시 강서구 명지오션시티1로 155(명지동 명지오션시티 한신휴플러스),국민희망임대리츠,84.99,1,2014-08-13,2019-01-25,2019
3,국민희망매입임대(대구동구),대구광역시 동구 팔공로51길 10(봉무동 이시아폴리스 더샵 3차),국민희망임대리츠,65.92,1,2013-12-24,,2019
4,국민희망매입임대(대구북구),대구광역시 북구 성북로9길 12(침산동 침산동 2차 쌍용예가),국민희망임대리츠,84.9428,1,2013-09-30,,2019
5,국민희망매입임대(대구달서구),대구광역시 달서구 조암남로 132(대천동 월배 힐스테이트),국민희망임대리츠,84.9686,1,2008-07-21,,2019
6,국민희망매입임대(대구달성군),대구광역시 달성군 다사읍 세천로 187(대구세천한라비발디),국민희망임대리츠,62.683,1,2016-01-28,,2020
7,국민희망매입임대(인천남동구),인천광역시 남동구 만수서로 55(만수동 향촌휴먼시아1단지아파트),국민희망임대리츠,46.89,1,2011-05-20,2020-01-09,2019
8,국민희망매입임대(인천서구),인천광역시 서구 고산후로78번길 9(당하동 인천원당금호어울림아파트),국민희망임대리츠,84.9917,1,2004-03-26,,2019
9,국민희망매입임대(대전유성구),대전광역시 유성구 지족동로 123(지족동 노은해랑숲마을6단지아파트),국민희망임대리츠,74.96,1,2014-06-02,,2019
10,국민희망매입임대(경기의정부시),경기도 의정부시 호국로 1369(금오동 금오동 신도브래뉴1차아파트),국민희망임대리츠,83.26,1,2004-09-03,,2019
11,국민희망매입임대(경기고양시),경기도 고양시 덕양구 도래울로 85(도내동 엘에이치원흥도래울마을2단지),국민희망임대리츠,84.98,1,2014-06-02,,2019
12,국민희망매입임대(경기남양주시),경기도 남양주시 화도읍 수레로1120번길 8(신창현 풍림아이원 1차),국민희망임대리츠,84.991,1,2009-06-01,2019-10-04,2019
13,국민희망매입임대(경기파주시),경기도 파주시 가람로 70(와동동 가람마을4단지 한양수자인),국민희망임대리츠,84.66,1,2011-12-19,,2019
14,국민희망매입임대(경기파주시),경기도 파주시 한빛로 70(야당동 한빛마을 5단지 캐슬앤칸타빌),국민희망임대리츠,84.1887,1,2012-07-27,,2019
15,국민희망매입임대(경기김포시),경기도 김포시 고촌읍 수기로 67-53(수기마을힐스테이트2단지),국민희망임대리츠,84.95,1,2008-04-14,,2019
16,국민희망매입임대(경기김포시),경기도 김포시 김포한강2로 11(장기동 수정마을 쌍용예가아파트),국민희망임대리츠,84.753,1,2011-06-29,,2019
17,국민희망매입임대(경기김포시),경기도 김포시 김포한강2로 192(장기동 고창마을 자연앤 어울림),국민희망임대리츠,84.85,1,2009-05-15,,2019
18,국민희망매입임대(강원원주시),강원도 원주시 단구로 413(단구동 현진에버빌5차),국민희망임대리츠,84.977,1,2006-01-26,,2019
19,국민희망매입임대(충남서산시),충청남도 서산시 지곡면 충의로 762-78(늘푸른오스카빌),국민희망임대리츠,84.98,1,2006-09-21,,2018
20,국민희망매입임대(충남천안시),충청남도 천안시 서북구 천안대로 1287-1(신당동),국민희망임대리츠,72.415,1,2018-02-19,,2018
21,국민희망매입임대(전남나주시),전라남도 나주시 한빛로 61(빛가람동),국민희망임대리츠,76.1881,1,2015-03-30,,2019
22,국민희망매입임대(경북경산시),경상북도 경산시 경안로69길 12(대평동 대평그린빌),국민희망임대리츠,59.45,1,2004-09-10,,2019
23,국민희망매입임대(경남거제시),경상남도 거제시 아주2로 137(아주동 아주e편한세상 2단지),국민희망임대리츠,84.9646,1,2014-10-28,,2019
24,국민희망매입임대(경남양산시),경상남도 양산시 물금읍 범어로 77(우미린아파트),국민희망임대리츠,59.9768,1,2013-06-11,2019-01-22,2019
25,국민희망매입임대(경남양산시),경상남도 양산시 양주로 32(남부동 양산신도시동원로얄듀크),국민희망임대리츠,84.9813,1,2005-02-23,,2019
26,국민희망매입임대(경남양산시),경상남도 양산시 평산로 116(평산동 양산천성산한일유앤아이아파트),국민희망임대리츠,84.9568,1,2008-06-30,2019-01-22,2019
27,매입다가구(서울종로구),서울특별시 종로구 대학로5가길,기존주택매입임대,27.17,1,1995-06-23,2007-06-30,2006
28,매입다가구(서울종로구),서울특별시 종로구 대학로9가길,기존주택매입임대,321.08,8,1998-03-02,2008-10-17,2008
29,매입다가구(서울종로구),서울특별시 종로구 세검정로7가길,기존주택매입임대,425.04,13,1996-10-07,2007-06-30,2006
30,매입다가구(서울종로구),서울특별시 종로구 종로 19(종로1가),기존주택매입임대,56.64,1,2007-09-14,,2019
31,매입다가구(서울종로구),서울특별시 종로구 종로31길 46-30(연지동),기존주택매입임대,1265.24,71,2019-03-07,,2019
32,매입다가구(서울종로구),서울특별시 종로구 종로31길 46-38(연지동),기존주택매입임대,1265.24,71,2019-03-07,,2019
33,매입다가구(서울종로구),서울특별시 종로구 종로63라길 29(숭인동),기존주택매입임대,225.75,8,2019-10-30,2020-02-19,2020
34,매입다가구(서울종로구),서울특별시 종로구 진흥로,기존주택매입임대,417.42,9,1996-04-01,2007-06-30,2006
35,매입다가구(서울종로구),서울특별시 종로구 창경궁로16길 30(연지동),기존주택매입임대,977.88,48,2019-03-25,,2019
36,매입다가구(서울종로구),서울특별시 종로구 평창12길,기존주택매입임대,1000.95,17,1997-12-24,2007-06-30,2006
37,매입다가구(서울종로구),서울특별시 종로구 필운대로,기존주택매입임대,377.9,7,1995-11-23,2007-11-28,2007
38,매입다가구(서울종로구),서울특별시 종로구 필운대로5다길,기존주택매입임대,397.57,9,2003-04-08,2007-07-20,2007
39,매입다가구(서울종로구),서울특별시 종로구 필운대로9길,기존주택매입임대,476.99,7,1997-03-14,2007-06-30,2006
40,매입다가구(서울종로구),서울특별시 종로구 혜화로12길,기존주택매입임대,303.58,7,1997-08-28,2007-10-23,2007
41,매입다가구(서울종로구),서울특별시 종로구 홍지문2가길,기존주택매입임대,726.2,12,2003-01-24,2008-05-23,2008
42,매입다가구(서울중구),서울특별시 중구 동호로11나길 35,기존주택매입임대,455.46,7,1995-03-17,2007-11-01,2007
43,매입다가구(서울중구),서울특별시 중구 마른내로 106(오장동),기존주택매입임대,1323.32,59,2019-11-22,2020-01-31,2019
44,매입다가구(서울중구),서울특별시 중구 장충단로6가길,기존주택매입임대,517.35,15,1996-08-01,2006-06-05,2006
45,매입다가구(서울중구),서울특별시 중구 청구로21길,기존주택매입임대,405.69,6,2003-11-03,2007-06-30,2006
46,매입다가구(서울중구),서울특별시 중구 퇴계로,기존주택매입임대,296.37,7,1997-09-12,2007-06-30,2006
47,매입다가구(서울중구),서울특별시 중구 퇴계로36가길,기존주택매입임대,345.81,7,1996-10-11,2007-06-30,2006
48,매입다가구(서울용산구),서울특별시 용산구 두텁바위로58길,기존주택매입임대,423.36,6,2003-09-01,2014-01-24,2013
49,매입다가구(서울용산구),서울특별시 용산구 신흥로3가길 36,기존주택매입임대,347.54,8,1996-10-09,2011-01-09,2010
50,매입다가구(서울용산구),서울특별시 용산구 청파로57길 34  (대명시티파크),기존주택매입임대,584.16,10,2009-01-09,2013-12-31,2013
51,매입다가구(서울용산구),서울특별시 용산구 청파로71길,기존주택매입임대,250.16,5,2008-10-09,2014-08-22,2014
52,매입다가구(서울용산구),서울특별시 용산구 후암로28라길,기존주택매입임대,316.46,6,1995-08-25,2008-10-13,2008
53,매입다가구(서울용산구),서울특별시 용산구 후암로28라길,기존주택매입임대,514.91,9,1995-06-26,2006-06-05,2005
54,매입다가구(서울성동구),서울특별시 성동구 송정18길 5(송정동),기존주택매입임대,239.88,8,2016-12-16,2017-03-29,2017
55,매입다가구(서울성동구),서울특별시 성동구 송정18길 7-11(송정동),기존주택매입임대,470.04,10,2016-12-16,2017-02-10,2016
56,매입다가구(서울성동구),서울특별시 성동구 아차산로1가길,기존주택매입임대,363.84,11,1992-11-26,2007-10-29,2007
57,매입다가구(서울성동구),서울특별시 성동구 왕십리로6길,기존주택매입임대,459.54,12,1996-12-31,2007-10-11,2007
58,매입다가구(서울성동구),서울특별시 성동구 왕십리로6길,기존주택매입임대,456.99,12,1996-12-31,2007-10-11,2007
59,매입다가구(서울성동구),서울특별시 성동구 장터1가길,기존주택매입임대,234.36,5,1991-12-17,2009-02-19,2008
60,매입다가구(서울광진구),서울특별시 광진구 광나루로44길,기존주택매입임대,337.13,7,2009-03-30,2009-07-01,2009
61,매입다가구(서울광진구),서울특별시 광진구 구의강변로,기존주택매입임대,490.8,10,1992-08-17,2010-06-26,2010
62,매입다가구(서울광진구),서울특별시 광진구 긴고랑로1길 17(중곡동),기존주택매입임대,555.95,11,2017-03-17,2017-06-12,2017
63,매입다가구(서울광진구),서울특별시 광진구 긴고랑로22길,기존주택매입임대,242.56,7,1991-03-16,2006-09-27,2005
64,매입다가구(서울광진구),서울특별시 광진구 긴고랑로27길,기존주택매입임대,375.42,7,2011-05-25,2011-12-31,2011
65,매입다가구(서울광진구),서울특별시 광진구 긴고랑로27길 15,기존주택매입임대,206.12,4,2013-09-10,2014-01-24,2013
66,매입다가구(서울광진구),서울특별시 광진구 긴고랑로36길,기존주택매입임대,414.54,6,2004-05-14,2007-06-29,2006
67,매입다가구(서울광진구),서울특별시 광진구 긴고랑로3길 12(중곡동),기존주택매입임대,606.9,26,2017-09-13,2017-12-15,2017
68,매입다가구(서울광진구),서울특별시 광진구 긴고랑로40길,기존주택매입임대,316.23,8,1992-11-12,2006-08-07,2005
69,매입다가구(서울광진구),서울특별시 광진구 긴고랑로44길,기존주택매입임대,332.69,6,1997-11-25,2006-12-31,2005
70,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동),기존주택매입임대,518.64,32,2019-10-29,,2019
71,매입다가구(서울광진구),서울특별시 광진구 능동로43길,기존주택매입임대,62.22,1,2012-05-01,2015-03-16,2015
72,매입다가구(서울광진구),서울특별시 광진구 능동로43길 30-11,기존주택매입임대,249.44,4,2012-05-01,2014-01-26,2013
73,매입다가구(서울광진구),서울특별시 광진구 능동로55길,기존주택매입임대,180.07,3,2003-06-23,2009-02-10,2008
74,매입다가구(서울광진구),서울특별시 광진구 답십리로82길 31(중곡동),기존주택매입임대,400.87,13,2019-08-14,2019-11-08,2019
75,매입다가구(서울광진구),서울특별시 광진구 답십리로84길,기존주택매입임대,416.56,9,2008-08-29,2009-07-01,2009
76,매입다가구(서울광진구),서울특별시 광진구 동일로66길,기존주택매입임대,308.21,7,2008-08-26,2009-06-13,2009
77,매입다가구(서울광진구),서울특별시 광진구 동일로76길 32(중곡동 명성리치빌),기존주택매입임대,465.12,16,2020-01-06,,2019
78,매입다가구(서울광진구),서울특별시 광진구 동일로80길 37(중곡동),기존주택매입임대,507,20,2019-10-01,2019-12-17,2019
79,매입다가구(서울광진구),서울특별시 광진구 뚝섬로47길,기존주택매입임대,192.73,5,2009-01-30,2009-06-13,2009
80,매입다가구(서울광진구),서울특별시 광진구 뚝섬로57가길 47,기존주택매입임대,46,1,1987-12-22,2009-01-05,2008
81,매입다가구(서울광진구),서울특별시 광진구 뚝섬로58길,기존주택매입임대,278.58,7,2009-01-30,2009-06-23,2009
82,매입다가구(서울광진구),서울특별시 광진구 뚝섬로59길,기존주택매입임대,142.4,4,2008-11-13,2009-06-13,2009
83,매입다가구(서울광진구),서울특별시 광진구 아차산로 356(자양동),기존주택매입임대,1806.77,87,2020-02-20,,2020
84,매입다가구(서울광진구),서울특별시 광진구 아차산로46가길 1(자양동),기존주택매입임대,806.8,42,2020-01-30,,2020
85,매입다가구(서울광진구),서울특별시 광진구 영화사로,기존주택매입임대,196.02,5,1993-07-29,2008-01-03,2007
86,매입다가구(서울광진구),서울특별시 광진구 영화사로16길 12-12 (욱현하이브),기존주택매입임대,335.94,7,2012-04-03,2013-12-26,2013
87,매입다가구(서울광진구),서울특별시 광진구 영화사로3길,기존주택매입임대,463.45,7,2004-05-25,2007-06-29,2006
88,매입다가구(서울광진구),서울특별시 광진구 영화사로9길,기존주택매입임대,333.05,6,2002-12-07,2007-06-29,2006
89,매입다가구(서울광진구),서울특별시 광진구 용마산로14길,기존주택매입임대,397.24,7,2009-01-14,2011-02-03,2010
90,매입다가구(서울광진구),서울특별시 광진구 용마산로22길,기존주택매입임대,431.37,12,1996-09-13,2006-12-31,2005
91,매입다가구(서울광진구),서울특별시 광진구 용마산로36길,기존주택매입임대,266.12,7,1991-06-05,2007-10-24,2007
92,매입다가구(서울광진구),서울특별시 광진구 용마산로8가길,기존주택매입임대,215.4,6,2002-07-13,2006-07-31,2005
93,매입다가구(서울광진구),서울특별시 광진구 자양로 144-1(구의동),기존주택매입임대,1022.22,64,2019-06-17,2019-11-11,2019
94,매입다가구(서울광진구),서울특별시 광진구 자양로37가길,기존주택매입임대,363.07,6,2001-12-01,2007-06-29,2006
95,매입다가구(서울광진구),서울특별시 광진구 자양로39길,기존주택매입임대,151.76,4,1996-12-13,2007-06-29,2006
96,매입다가구(서울광진구),서울특별시 광진구 자양로40길,기존주택매입임대,458.95,11,2004-11-23,2007-06-29,2006
97,매입다가구(서울광진구),서울특별시 광진구 자양로43길,기존주택매입임대,242.16,6,2011-11-24,2012-02-29,2011
98,매입다가구(서울광진구),서울특별시 광진구 자양로44다길,기존주택매입임대,371.79,8,1991-05-06,2010-10-23,2010
99,매입다가구(서울광진구),서울특별시 광진구 자양로53길,기존주택매입임대,297.7,7,1993-12-04,2007-06-29,2006
100,매입다가구(서울광진구),서울특별시 광진구 자양번영로,기존주택매입임대,246.86,6,2008-12-11,2009-06-13,2009
101,매입다가구(서울광진구),서울특별시 광진구 자양번영로3가길 15(자양동),기존주택매입임대,344.13,12,2016-04-29,2016-06-30,2016
102,매입다가구(서울광진구),서울특별시 광진구 자양번영로7길 12(자양동),기존주택매입임대,584.49,17,2019-10-23,,2019
103,매입다가구(서울광진구),서울특별시 광진구 천호대로116길,기존주택매입임대,363.49,11,2002-12-06,2007-06-29,2006
104,매입다가구(서울광진구),서울특별시 광진구 천호대로122길 30(능동 블루스카이),기존주택매입임대,571.51,13,2019-05-21,2019-11-25,2019
105,매입다가구(서울광진구),서울특별시 광진구 천호대로125길,기존주택매입임대,410.82,6,2004-12-31,2007-06-29,2006
106,매입다가구(서울광진구),서울특별시 광진구 천호대로127길,기존주택매입임대,271.64,5,1995-09-20,2007-06-29,2006
107,매입다가구(서울광진구),서울특별시 광진구 천호대로129길,기존주택매입임대,49.12,1,1992-03-18,2009-01-05,2008
108,매입다가구(서울광진구),서울특별시 광진구 천호대로136길 52-1(구의동),기존주택매입임대,574.49,15,2018-10-04,2018-12-05,2018
109,매입다가구(서울동대문구),서울특별시 동대문구 경동시장로15길 14(제기동),기존주택매입임대,370.43,10,2016-10-17,2017-01-12,2016
110,매입다가구(서울동대문구),서울특별시 동대문구 답십리로68길 92(장안동),기존주택매입임대,663.285,27,2017-09-06,2017-12-15,2017
111,매입다가구(서울동대문구),서울특별시 동대문구 답십리로68길 92(장안동),기존주택매입임대,470.23,26,2017-09-06,2017-12-15,2017
112,매입다가구(서울동대문구),서울특별시 동대문구 답십리로68길 92(장안동),기존주택매입임대,475.08,20,2017-09-06,2017-12-15,2017
113,매입다가구(서울동대문구),서울특별시 동대문구 망우로 91(휘경동),기존주택매입임대,862.05,53,2020-03-06,,2020
114,매입다가구(서울동대문구),서울특별시 동대문구 망우로16길,기존주택매입임대,253.99,8,1993-11-26,2006-12-31,2005
115,매입다가구(서울동대문구),서울특별시 동대문구 망우로4길 13(휘경동 수 비젼빌),기존주택매입임대,426.12,10,2015-12-01,2016-04-18,2016
116,매입다가구(서울동대문구),서울특별시 동대문구 사가정로 224-7(장안동),기존주택매입임대,430.67,8,2016-10-06,2017-01-12,2016
117,매입다가구(서울동대문구),서울특별시 동대문구 사가정로15길,기존주택매입임대,324.29,5,2000-08-04,2011-03-18,2010
118,매입다가구(서울동대문구),서울특별시 동대문구 사가정로23길 20(장안동),기존주택매입임대,556.1,10,2017-02-23,2017-05-24,2017
119,매입다가구(서울동대문구),서울특별시 동대문구 사가정로23길 20(장안동),기존주택매입임대,556.1,10,2017-02-23,2017-05-24,2017
120,매입다가구(서울동대문구),서울특별시 동대문구 사가정로23길 20(장안동),기존주택매입임대,556.1,10,2017-02-23,2017-05-24,2017
121,매입다가구(서울동대문구),서울특별시 동대문구 사가정로23길 20(장안동),기존주택매입임대,556.1,10,2017-02-23,2017-05-24,2017
122,매입다가구(서울동대문구),서울특별시 동대문구 사가정로23길 20(장안동),기존주택매입임대,526.91,9,2017-02-23,2017-05-24,2017
123,매입다가구(서울동대문구),서울특별시 동대문구 서울시립대로,기존주택매입임대,150.76,4,1993-07-03,2007-11-28,2007
124,매입다가구(서울동대문구),서울특별시 동대문구 서울시립대로16길,기존주택매입임대,186.84,8,1993-01-07,2008-10-29,2008
125,매입다가구(서울동대문구),서울특별시 동대문구 이문로 17(회기동),기존주택매입임대,2126.83,88,2019-10-08,,2019
126,매입다가구(서울동대문구),서울특별시 동대문구 장안동,기존주택매입임대,586.21,12,2016-12-28,2017-03-08,2017
127,매입다가구(서울동대문구),서울특별시 동대문구 장안동,기존주택매입임대,483.9,10,2016-12-28,2017-03-08,2017
128,매입다가구(서울동대문구),서울특별시 동대문구 장한로18길 54-22(장안동),기존주택매입임대,471.58,10,2018-05-28,2018-06-29,2018
129,매입다가구(서울동대문구),서울특별시 동대문구 장한로20길 23(장안동),기존주택매입임대,547.96,10,2018-10-16,2018-12-19,2018
130,매입다가구(서울동대문구),서울특별시 동대문구 장한로20길 23(장안동),기존주택매입임대,548.76,10,2018-10-16,2018-12-19,2018
131,매입다가구(서울동대문구),서울특별시 동대문구 장한로20길 23(장안동),기존주택매입임대,549.16,10,2018-10-16,2018-12-19,2018
132,매입다가구(서울동대문구),서울특별시 동대문구 장한로20길 23(장안동),기존주택매입임대,548.76,10,2018-10-16,2018-12-19,2018
133,매입다가구(서울동대문구),서울특별시 동대문구 장한로21길 19-12(장안동),기존주택매입임대,558.62,10,2018-11-20,2019-01-30,2018
134,매입다가구(서울동대문구),서울특별시 동대문구 장한로26길 85(장안동),기존주택매입임대,2557.6,45,2019-11-30,,2019
135,매입다가구(서울동대문구),서울특별시 동대문구 장한로26다길 111(장안동),기존주택매입임대,406.14,10,2018-05-28,2018-06-29,2018
136,매입다가구(서울동대문구),서울특별시 동대문구 장한로26다길 115-1(장안동),기존주택매입임대,396.32,8,2018-05-28,2018-06-29,2018
137,매입다가구(서울동대문구),서울특별시 동대문구 장한로26다길 115-3(장안동),기존주택매입임대,331.5,8,2018-05-28,2018-06-29,2018
138,매입다가구(서울동대문구),서울특별시 동대문구 장한로26다길 65(장안동 하우징365),기존주택매입임대,466.07,16,2020-01-10,,2019
139,매입다가구(서울동대문구),서울특별시 동대문구 장한로26다길 7(장안동),기존주택매입임대,3234.6,51,2019-10-11,,2019
140,매입다가구(서울동대문구),서울특별시 동대문구 장한로27나길 103(장안동),기존주택매입임대,531.34,11,2015-10-16,2016-02-05,2015
141,매입다가구(서울동대문구),서울특별시 동대문구 장한로27나길 103(장안동),기존주택매입임대,531.34,11,2015-10-30,2016-02-05,2015
142,매입다가구(서울동대문구),서울특별시 동대문구 장한로32길 23-4(장안동),기존주택매입임대,470.41,10,2019-04-03,2019-07-10,2019
143,매입다가구(서울동대문구),서울특별시 동대문구 장한로32길 23-4(장안동),기존주택매입임대,470.41,10,2019-04-03,2019-07-10,2019
144,매입다가구(서울동대문구),서울특별시 동대문구 장한로32길 23-4(장안동),기존주택매입임대,470.41,10,2019-04-03,2019-07-10,2019
145,매입다가구(서울동대문구),서울특별시 동대문구 제기로 16(제기동 더푸른빌2),기존주택매입임대,695.52,12,2019-12-01,,2020
146,매입다가구(서울동대문구),서울특별시 동대문구 제기로 16(제기동 더푸른빌2),기존주택매입임대,558.7,10,2019-12-01,,2020
147,매입다가구(서울동대문구),서울특별시 동대문구 제기로 20(제기동 더푸른빌),기존주택매입임대,708.22,12,2019-11-11,,2019
148,매입다가구(서울동대문구),서울특별시 동대문구 제기로 20(제기동 더푸른빌),기존주택매입임대,579.8,10,2019-11-11,,2019
149,매입다가구(서울동대문구),서울특별시 동대문구 천호대로22길 49(용두동),기존주택매입임대,501.8,11,2016-12-15,2017-02-10,2016
150,매입다가구(서울동대문구),서울특별시 동대문구 천호대로24길 37(용두동),기존주택매입임대,474.38,8,2017-02-22,2017-05-04,2017
151,매입다가구(서울동대문구),서울특별시 동대문구 천호대로77길,기존주택매입임대,591.12,16,1995-06-19,2008-11-19,2008
152,매입다가구(서울동대문구),서울특별시 동대문구 청계천로13길 21(용두동 빌드아르떼),기존주택매입임대,509.76,10,2019-12-30,,2020
153,매입다가구(서울동대문구),서울특별시 동대문구 한천로28길 5(장안동),기존주택매입임대,537.85,9,2018-12-14,2019-01-31,2018
154,매입다가구(서울동대문구),서울특별시 동대문구 한천로28길 5(장안동),기존주택매입임대,639.99,11,2018-12-14,2019-01-31,2018
155,매입다가구(서울동대문구),서울특별시 동대문구 한천로28길 9(장안동),기존주택매입임대,539.27,9,2018-12-14,2019-01-31,2018
156,매입다가구(서울동대문구),서울특별시 동대문구 한천로28길 9(장안동),기존주택매입임대,637.77,11,2018-12-14,2019-01-31,2018
157,매입다가구(서울동대문구),서울특별시 동대문구 한천로30길 12(장안동),기존주택매입임대,554.93,10,2018-12-14,2019-01-31,2018
158,매입다가구(서울동대문구),서울특별시 동대문구 한천로30길 12(장안동),기존주택매입임대,608.75,11,2018-12-14,2019-01-31,2018
159,매입다가구(서울동대문구),서울특별시 동대문구 한천로30길 8(장안동),기존주택매입임대,536.49,9,2018-12-14,2019-01-31,2018
160,매입다가구(서울동대문구),서울특별시 동대문구 한천로30길 8(장안동),기존주택매입임대,644.09,11,2018-12-14,2019-01-31,2018
161,매입다가구(서울동대문구),서울특별시 동대문구 한천로32길 36-5(장안동),기존주택매입임대,406.64,8,2018-11-13,2019-01-30,2018
162,매입다가구(서울동대문구),서울특별시 동대문구 한천로32길 36-5(장안동),기존주택매입임대,431.84,8,2018-11-13,2019-01-30,2018
163,매입다가구(서울동대문구),서울특별시 동대문구 한천로32길 36-6(장안동),기존주택매입임대,420.83,10,2018-06-21,2018-09-07,2018
164,매입다가구(서울동대문구),서울특별시 동대문구 한천로58길,기존주택매입임대,48.23,1,1994-06-05,2009-01-05,2008
165,매입다가구(서울동대문구),서울특별시 동대문구 한천로6길,기존주택매입임대,454.79,8,2009-12-10,2010-03-31,2009
166,매입다가구(서울동대문구),서울특별시 동대문구 홍릉로3길 54(제기동),기존주택매입임대,425.58,8,2017-12-01,2018-03-27,2018
167,매입다가구(서울동대문구),서울특별시 동대문구 회기로10가길,기존주택매입임대,218.28,6,1993-06-21,2007-08-03,2007
168,매입다가구(서울동대문구),서울특별시 동대문구 회기로10길,기존주택매입임대,292.13,8,1994-01-24,2008-06-17,2008
169,매입다가구(서울중랑구),서울특별시 중랑구 겸재로10가길 14(면목동),기존주택매입임대,522.18,10,2016-07-20,2016-10-28,2016
170,매입다가구(서울중랑구),서울특별시 중랑구 겸재로10가길 14(면목동),기존주택매입임대,493.63,10,2016-07-20,2016-10-28,2016
171,매입다가구(서울중랑구),서울특별시 중랑구 겸재로54길,기존주택매입임대,551.75,10,2009-11-23,2010-04-06,2009
172,매입다가구(서울중랑구),서울특별시 중랑구 겸재로54길,기존주택매입임대,487.93,9,2009-11-23,2010-04-06,2009
173,매입다가구(서울중랑구),서울특별시 중랑구 겸재로64길,기존주택매입임대,177.13,5,1994-04-21,2007-06-29,2006
174,매입다가구(서울중랑구),서울특별시 중랑구 겸재로7길,기존주택매입임대,199.52,5,1992-04-30,2006-12-31,2005
175,매입다가구(서울중랑구),서울특별시 중랑구 겸재로7길,기존주택매입임대,53.88,1,2008-09-26,2009-01-05,2008
176,매입다가구(서울중랑구),서울특별시 중랑구 공릉로2나길,기존주택매입임대,367.38,9,1994-06-10,2007-06-29,2006
177,매입다가구(서울중랑구),서울특별시 중랑구 공릉로2나길 13(묵동),기존주택매입임대,212.25,10,,,2006
178,매입다가구(서울중랑구),서울특별시 중랑구 답십리로81길,기존주택매입임대,151.65,5,1992-06-09,2004-12-31,2004
179,매입다가구(서울중랑구),서울특별시 중랑구 동일로104길,기존주택매입임대,363.93,7,1995-08-18,2006-09-21,2005
180,매입다가구(서울중랑구),서울특별시 중랑구 동일로109가길 5(면목동 현대휴온아파트),기존주택매입임대,1350.92,38,2013-03-29,,2019
181,매입다가구(서울중랑구),서울특별시 중랑구 동일로111길 5(상봉동),기존주택매입임대,461.88,8,2016-03-31,2016-06-16,2016
182,매입다가구(서울중랑구),서울특별시 중랑구 동일로126길,기존주택매입임대,231.94,6,1991-07-06,2006-12-31,2005
183,매입다가구(서울중랑구),서울특별시 중랑구 동일로126길 92(상봉동),기존주택매입임대,566.19,10,2018-12-17,2019-01-31,2018
184,매입다가구(서울중랑구),서울특별시 중랑구 동일로126길 96(상봉동),기존주택매입임대,602.98,11,2018-12-14,2019-01-31,2018
185,매입다가구(서울중랑구),서울특별시 중랑구 동일로126길 98(상봉동),기존주택매입임대,506.04,9,2018-12-14,2019-01-31,2018
186,매입다가구(서울중랑구),서울특별시 중랑구 동일로126나길 10(상봉동 이도빌라),기존주택매입임대,585.33,10,2015-10-01,2015-12-04,2015
187,매입다가구(서울중랑구),서울특별시 중랑구 동일로126나길 10(상봉동 이도빌라),기존주택매입임대,569.87,10,2015-10-01,2015-12-04,2015
188,매입다가구(서울중랑구),서울특별시 중랑구 동일로130길,기존주택매입임대,190.61,5,1991-09-02,2008-01-15,2007
189,매입다가구(서울중랑구),서울특별시 중랑구 동일로136가길,기존주택매입임대,696.66,13,1994-09-17,2007-07-20,2007
190,매입다가구(서울중랑구),서울특별시 중랑구 동일로139라길,기존주택매입임대,230.23,6,1988-12-05,2007-12-14,2007
191,매입다가구(서울중랑구),서울특별시 중랑구 동일로144길,기존주택매입임대,296.52,7,1993-12-31,2008-01-15,2007
192,매입다가구(서울중랑구),서울특별시 중랑구 동일로146길,기존주택매입임대,390,7,1993-05-22,2006-09-21,2005
193,매입다가구(서울중랑구),서울특별시 중랑구 동일로148길,기존주택매입임대,158.08,5,1995-03-24,2007-06-29,2006
194,매입다가구(서울중랑구),서울특별시 중랑구 동일로148길,기존주택매입임대,158.06,5,1994-03-03,2007-06-29,2006
195,매입다가구(서울중랑구),서울특별시 중랑구 동일로149가길,기존주택매입임대,194.97,5,1993-10-25,2007-06-29,2006
196,매입다가구(서울중랑구),서울특별시 중랑구 동일로149가길 21(묵동),기존주택매입임대,120.945,6,,,2006
197,매입다가구(서울중랑구),서울특별시 중랑구 동일로152길,기존주택매입임대,278.64,5,1992-09-01,2006-12-31,2005
198,매입다가구(서울중랑구),서울특별시 중랑구 동일로152길,기존주택매입임대,309.67,6,2002-12-30,2007-06-29,2006
199,매입다가구(서울중랑구),서울특별시 중랑구 동일로152길,기존주택매입임대,166.32,3,2003-03-07,2007-06-29,2006
200,매입다가구(서울중랑구),서울특별시 중랑구 동일로152길,기존주택매입임대,252.46,5,1994-07-27,2007-06-29,2006
201,매입다가구(서울중랑구),서울특별시 중랑구 동일로154길 33-8,기존주택매입임대,466.5,10,2011-12-21,2012-09-27,2012
202,매입다가구(서울중랑구),서울특별시 중랑구 동일로157길 42(묵동 시온아트빌),기존주택매입임대,608.03,11,2019-11-29,,2019
203,매입다가구(서울중랑구),서울특별시 중랑구 동일로157길 42(묵동 시온아트빌),기존주택매입임대,546.4,10,2019-11-29,,2019
204,매입다가구(서울중랑구),서울특별시 중랑구 동일로157길 42(묵동 시온아트빌),기존주택매입임대,546.4,10,2019-11-29,,2019
